country_id,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
MDG,-20.82316,48.33025,325.16,1.03,1.01,2024-11-16,614,Terra,MODIS,76,6.1NRT,298.77,15.07,D
MDG,-20.78876,47.30895,318.95,1,1,2024-11-16,614,Terra,MODIS,54,6.1NRT,304.43,8.54,D
MDG,-20.62753,46.7729,337.95,1.01,1,2024-11-16,614,Terra,MODIS,86,6.1NRT,308.11,27.18,D
MDG,-20.52694,46.90175,332.04,1.01,1,2024-11-16,614,Terra,MODIS,81,6.1NRT,309.92,18.16,D
MDG,-20.52556,46.89238,326.01,1.01,1,2024-11-16,614,Terra,MODIS,73,6.1NRT,308.95,11.12,D
MDG,-20.32195,47.64466,320.86,1,1,2024-11-16,614,Terra,MODIS,51,6.1NRT,306.31,10.58,D
MDG,-20.3131,47.64605,321.32,1,1,2024-11-16,614,Terra,MODIS,56,6.1NRT,305.76,10.97,D
MDG,-20.29817,46.60221,325.28,1.02,1.01,2024-11-16,614,Terra,MODIS,66,6.1NRT,308.14,7.07,D
MDG,-20.11712,48.21622,317.13,1.02,1.01,2024-11-16,614,Terra,MODIS,41,6.1NRT,296.71,8.62,D
MDG,-19.73336,48.56971,342.34,1.03,1.01,2024-11-16,614,Terra,MODIS,91,6.1NRT,300.25,42.83,D
MDG,-19.21229,48.59767,316.2,1.02,1.01,2024-11-16,614,Terra,MODIS,56,6.1NRT,297.79,9.04,D
MDG,-19.18337,45.47024,323.18,1.12,1.06,2024-11-16,614,Terra,MODIS,63,6.1NRT,303.97,7.12,D
MDG,-19.07029,47.85099,321.12,1,1,2024-11-16,614,Terra,MODIS,68,6.1NRT,302.92,11.81,D
MDG,-19.05261,47.85373,318.01,1,1,2024-11-16,614,Terra,MODIS,39,6.1NRT,301.83,8.45,D
MDG,-18.89928,48.40165,343.77,1.01,1.01,2024-11-16,614,Terra,MODIS,91,6.1NRT,296.3,45.31,D
MDG,-18.89438,47.90973,317.95,1,1,2024-11-16,614,Terra,MODIS,43,6.1NRT,300.06,9.13,D
MDG,-18.88567,45.40026,324.19,1.14,1.06,2024-11-16,614,Terra,MODIS,57,6.1NRT,305.07,8.37,D
MDG,-18.88554,47.91109,318.7,1,1,2024-11-16,614,Terra,MODIS,48,6.1NRT,300.66,8.98,D
MDG,-18.85981,44.3456,333.3,1.3,1.13,2024-11-16,614,Terra,MODIS,0,6.1NRT,302.62,22.33,D
MDG,-18.84234,48.71708,315.58,1.02,1.01,2024-11-16,614,Terra,MODIS,41,6.1NRT,297.34,8.32,D
MDG,-18.82938,48.68965,333.89,1.02,1.01,2024-11-16,614,Terra,MODIS,85,6.1NRT,299.67,28.29,D
MDG,-18.77674,48.64547,324.67,1.02,1.01,2024-11-16,614,Terra,MODIS,75,6.1NRT,300.63,16.98,D
MDG,-18.58393,48.38232,322.41,1.01,1,2024-11-16,614,Terra,MODIS,72,6.1NRT,300.53,13.73,D
MDG,-18.58261,48.37295,322.8,1.01,1,2024-11-16,614,Terra,MODIS,72,6.1NRT,298.8,14.43,D
MDG,-18.55519,46.73244,323.07,1.03,1.01,2024-11-16,614,Terra,MODIS,68,6.1NRT,304.33,10.92,D
MDG,-18.54708,47.42267,328.96,1,1,2024-11-16,614,Terra,MODIS,78,6.1NRT,308.82,14.8,D
MDG,-18.51995,48.05901,326.32,1,1,2024-11-16,614,Terra,MODIS,77,6.1NRT,301.77,16.49,D
MDG,-18.51023,48.06647,318.98,1,1,2024-11-16,614,Terra,MODIS,59,6.1NRT,300.22,8.97,D
MDG,-18.50889,48.05716,325.01,1,1,2024-11-16,614,Terra,MODIS,75,6.1NRT,300.58,14.93,D
MDG,-18.4473,45.36605,321.63,1.16,1.07,2024-11-16,614,Terra,MODIS,59,6.1NRT,301.51,11.02,D
MDG,-18.40232,47.95681,318.56,1,1,2024-11-16,614,Terra,MODIS,50,6.1NRT,297.28,11.21,D
MDG,-18.38997,47.99657,318.89,1,1,2024-11-16,614,Terra,MODIS,63,6.1NRT,301.07,10.47,D
MDG,-18.38864,47.98731,323.38,1,1,2024-11-16,614,Terra,MODIS,72,6.1NRT,303.24,14.06,D
MDG,-18.38112,47.99793,328.84,1,1,2024-11-16,614,Terra,MODIS,79,6.1NRT,301.45,19.94,D
MDG,-18.37979,47.98867,341.52,1,1,2024-11-16,614,Terra,MODIS,90,6.1NRT,302.54,37.97,D
MDG,-18.21509,48.44397,316.32,1.01,1,2024-11-16,614,Terra,MODIS,35,6.1NRT,298.18,5.91,D
MDG,-18.21378,48.43465,321.39,1.01,1,2024-11-16,614,Terra,MODIS,69,6.1NRT,299.97,10.4,D
MDG,-18.13067,49.02834,318.35,1.03,1.02,2024-11-16,614,Terra,MODIS,65,6.1NRT,298.97,11.9,D
MDG,-18.00124,47.53608,322.42,1,1,2024-11-16,614,Terra,MODIS,53,6.1NRT,307.86,5.58,D
MDG,-17.98362,48.25079,323.71,1,1,2024-11-16,614,Terra,MODIS,57,6.1NRT,309.7,8.92,D
MDG,-17.86741,48.20886,351.71,1,1,2024-11-16,614,Terra,MODIS,95,6.1NRT,313.21,51.13,D
MDG,-17.86608,48.1996,347.56,1,1,2024-11-16,614,Terra,MODIS,93,6.1NRT,307.85,43.33,D
MDG,-17.73593,47.99907,322.03,1,1,2024-11-16,614,Terra,MODIS,49,6.1NRT,307.45,8.66,D
MDG,-17.69133,45.32056,325.14,1.19,1.08,2024-11-16,614,Terra,MODIS,68,6.1NRT,305.5,9,D
MDG,-17.67675,44.14583,335.94,1.39,1.17,2024-11-16,614,Terra,MODIS,0,6.1NRT,304.89,31.64,D
MDG,-17.66145,46.13278,322.93,1.09,1.04,2024-11-16,614,Terra,MODIS,63,6.1NRT,304.69,8.51,D
MDG,-17.65223,46.13421,323.29,1.09,1.04,2024-11-16,614,Terra,MODIS,64,6.1NRT,304.88,8.99,D
MDG,-17.61689,48.45444,320.67,1.01,1,2024-11-16,614,Terra,MODIS,0,6.1NRT,299.63,11.11,D
MDG,-17.49176,47.89841,320.63,1,1,2024-11-16,614,Terra,MODIS,53,6.1NRT,304.7,5.97,D
MDG,-17.43523,47.89471,322.86,1,1,2024-11-16,614,Terra,MODIS,43,6.1NRT,306.97,6.58,D
MDG,-17.38326,47.47751,326.14,1.01,1,2024-11-16,614,Terra,MODIS,61,6.1NRT,311.27,7.16,D
MDG,-17.31119,48.96342,316.5,1.02,1.01,2024-11-16,614,Terra,MODIS,51,6.1NRT,294.2,9.66,D
MDG,-17.30983,48.69598,316.65,1.01,1,2024-11-16,614,Terra,MODIS,38,6.1NRT,296.92,8.96,D
MDG,-17.29657,47.63907,325.47,1.01,1,2024-11-16,614,Terra,MODIS,66,6.1NRT,310.79,6.85,D
MDG,-17.27255,48.88279,326.54,1.02,1.01,2024-11-16,614,Terra,MODIS,75,6.1NRT,295.42,20.09,D
MDG,-17.10843,48.37397,319.77,1,1,2024-11-16,614,Terra,MODIS,33,6.1NRT,304.59,4.12,D
MDG,-17.0721,45.96373,353.14,1.12,1.06,2024-11-16,614,Terra,MODIS,96,6.1NRT,303.08,68.67,D
MDG,-17.04195,47.4797,352.56,1.01,1.01,2024-11-16,614,Terra,MODIS,72,6.1NRT,309.56,54.25,D
MDG,-17.0406,47.47061,355.46,1.01,1.01,2024-11-16,614,Terra,MODIS,73,6.1NRT,310.34,61.62,D
MDG,-17.03859,48.09011,350.81,1,1,2024-11-16,614,Terra,MODIS,95,6.1NRT,306.07,52.44,D
MDG,-16.66719,48.71285,331.6,1.01,1,2024-11-16,614,Terra,MODIS,83,6.1NRT,304.83,22.68,D
MDG,-16.61324,48.84367,325.38,1.01,1,2024-11-16,614,Terra,MODIS,56,6.1NRT,296.04,16.11,D
MDG,-16.60826,48.87278,325.49,1.01,1.01,2024-11-16,614,Terra,MODIS,60,6.1NRT,294.76,15.63,D
MDG,-16.54884,48.78378,345.24,1.01,1,2024-11-16,614,Terra,MODIS,82,6.1NRT,304.51,42.19,D
MDG,-16.53734,48.76662,343.96,1.01,1,2024-11-16,614,Terra,MODIS,92,6.1NRT,299.31,41.55,D
MDG,-16.53109,48.78642,342.85,1.01,1,2024-11-16,614,Terra,MODIS,71,6.1NRT,307.14,33.38,D
MDG,-16.52978,48.77716,346.39,1.01,1,2024-11-16,614,Terra,MODIS,81,6.1NRT,309.95,42.34,D
MDG,-16.52847,48.76793,365.77,1.01,1,2024-11-16,614,Terra,MODIS,100,6.1NRT,308.58,94.37,D
MDG,-16.52716,48.75871,322.56,1.01,1,2024-11-16,614,Terra,MODIS,49,6.1NRT,301.32,13.89,D
MDG,-16.5209,48.77849,356.79,1.01,1,2024-11-16,614,Terra,MODIS,98,6.1NRT,301.62,67,D
MDG,-16.5196,48.76925,404.54,1.01,1,2024-11-16,614,Terra,MODIS,100,6.1NRT,309.99,274.62,D
MDG,-16.51856,48.82601,382.08,1.01,1,2024-11-16,614,Terra,MODIS,100,6.1NRT,310.85,149.35,D
MDG,-16.51829,48.76004,375.94,1.01,1,2024-11-16,614,Terra,MODIS,100,6.1NRT,303.09,131.82,D
MDG,-16.51725,48.81676,380.36,1.01,1,2024-11-16,614,Terra,MODIS,100,6.1NRT,312.69,141.28,D
MDG,-16.51595,48.8075,398.21,1.01,1,2024-11-16,614,Terra,MODIS,100,6.1NRT,312.31,230.61,D
MDG,-16.51464,48.79828,359,1.01,1,2024-11-16,614,Terra,MODIS,99,6.1NRT,303.05,71.64,D
MDG,-16.50968,48.82734,335.94,1.01,1,2024-11-16,614,Terra,MODIS,78,6.1NRT,302.19,23.28,D
MDG,-16.50837,48.81808,377.72,1.01,1,2024-11-16,614,Terra,MODIS,100,6.1NRT,307.35,132,D
MDG,-16.4795,49.33998,327.32,1.03,1.01,2024-11-16,614,Terra,MODIS,79,6.1NRT,297.21,21.04,D
MDG,-16.47387,48.26037,320.73,1,1,2024-11-16,614,Terra,MODIS,56,6.1NRT,297.39,7.11,D
MDG,-16.42191,45.14333,326.47,1.26,1.12,2024-11-16,614,Terra,MODIS,56,6.1NRT,304.15,10.59,D
MDG,-16.40129,49.37064,313.9,1.03,1.01,2024-11-16,614,Terra,MODIS,51,6.1NRT,293.25,7.39,D
MDG,-16.38419,48.21489,322.27,1,1,2024-11-16,614,Terra,MODIS,74,6.1NRT,300.19,8.47,D
MDG,-16.29535,48.55239,336.61,1,1,2024-11-16,614,Terra,MODIS,87,6.1NRT,309.08,22.5,D
MDG,-16.29404,48.54329,352.11,1,1,2024-11-16,614,Terra,MODIS,96,6.1NRT,309.95,51.09,D
MDG,-16.27751,47.85597,324.75,1.01,1,2024-11-16,614,Terra,MODIS,67,6.1NRT,291.23,14.54,D
MDG,-16.27615,47.84671,341.73,1.01,1,2024-11-16,614,Terra,MODIS,79,6.1NRT,291.64,38.99,D
MDG,-16.01087,48.18431,328.84,1,1,2024-11-16,614,Terra,MODIS,77,6.1NRT,309.86,11.33,D
MDG,-15.98039,47.85121,334.23,1.01,1,2024-11-16,614,Terra,MODIS,82,6.1NRT,311.37,17.72,D
MDG,-15.96803,47.89076,342,1.01,1,2024-11-16,614,Terra,MODIS,89,6.1NRT,311.55,29.42,D
MDG,-15.80632,48.49519,337.84,1,1,2024-11-16,614,Terra,MODIS,86,6.1NRT,307.19,27.88,D
MDG,-15.58895,47.94549,324.97,1.01,1,2024-11-16,614,Terra,MODIS,70,6.1NRT,308.15,6.66,D
MDG,-15.53925,48.17463,349.81,1,1,2024-11-16,614,Terra,MODIS,94,6.1NRT,306.89,47.6,D
MDG,-15.53792,48.16547,340.16,1,1,2024-11-16,614,Terra,MODIS,88,6.1NRT,305.67,29.82,D
